$0.05	$0.10	$0.25	$0.50	$1.00	$2.00	$3.00	
$0.15	$0.30	$0.75	$1.50	$3.00	$6.00	$9.00	200
$0.25	$0.50	$1.25	$2.50	$5.00	$10.00	$15.00	250
$0.35	$0.70	$1.75	$3.50	$7.00	$14.00	$21.00	333.33
$0.50	$1.00	$2.50	$5.00	$10.00	$20.00	$30.00	578.03
$0.65	$1.30	$3.25	$6.50	$13.00	$26.00	$39.00	20000
$0.75	$1.50	$3.75	$7.50	$15.00	$30.00	$45.00	416.67
$0.90	$1.80	$4.50	$9.00	$18.00	$36.00	$54.00	28571.43
$1.00	$2.00	$5.00	$10.00	$20.00	$40.00	$60.00	645.16
$1.25	$2.50	$6.25	$12.50	$25.00	$50.00	$75.00	1176.47
$1.40	$2.80	$7.00	$14.00	$28.00	$56.00	$84.00	50000
$1.50	$3.00	$7.50	$15.00	$30.00	$60.00	$90.00	1010.1
$1.55	$3.10	$7.75	$15.50	$31.00	$62.00	$93.00	50000
$1.65	$3.30	$8.25	$16.50	$33.00	$66.00	$99.00	25000
$1.75	$3.50	$8.75	$17.50	$35.00	$70.00	$105.00	25000
$2.00	$4.00	$10.00	$20.00	$40.00	$80.00	$120.00	1886.79
$2.50	$5.00	$12.50	$25.00	$50.00	$100.00	$150.00	1428.57
$2.60	$5.20	$13.00	$26.00	$52.00	$104.00	$156.00	28571.43
$2.85	$5.70	$14.25	$28.50	$57.00	$114.00	$171.00	33333.33
$3.75	$7.50	$18.75	$37.50	$75.00	$150.00	$225.00	1818.18
$4.10	$8.20	$20.50	$41.00	$82.00	$164.00	$246.00	41666.67
$4.20	$8.40	$21.00	$42.00	$84.00	$168.00	$252.00	40000
$4.25	$8.50	$21.25	$42.50	$85.00	$170.00	$255.00	28571.43
$4.50	$9.00	$22.50	$45.00	$90.00	$180.00	$270.00	25000
$4.75	$9.50	$23.75	$47.50	$95.00	$190.00	$285.00	23255.81
$5.00	$10.00	$25.00	$50.00	$100.00	$200.00	$300.00	3173.6
$5.75	$11.50	$28.75	$57.50	$115.00	$230.00	$345.00	27027.03
$5.80	$11.60	$29.00	$58.00	$116.00	$232.00	$348.00	34482.76
$6.25	$12.50	$31.25	$62.50	$125.00	$250.00	$375.00	33333.33
$6.30	$12.60	$31.50	$63.00	$126.00	$252.00	$378.00	33333.33
