$0.01	$0.02	$0.05	$0.10	$0.20	$0.50	$1.00	
$0.01	$0.02	$0.05	$0.10	$0.20	$0.50	$1.00	14.29
$0.02	$0.04	$0.10	$0.20	$0.40	$1.00	$2.00	20.2
$0.04	$0.08	$0.20	$0.40	$0.80	$2.00	$4.00	114.29
$0.05	$0.10	$0.25	$0.50	$1.00	$2.50	$5.00	100
$0.10	$0.20	$0.50	$1.00	$2.00	$5.00	$10.00	133.33
$0.20	$0.40	$1.00	$2.00	$4.00	$10.00	$20.00	266.67
$0.40	$0.80	$2.00	$4.00	$8.00	$20.00	$40.00	1,333.33
$0.50	$1.00	$2.50	$5.00	$10.00	$25.00	$50.00	1,000.00
$1.00	$2.00	$5.00	$10.00	$20.00	$50.00	$100.00	1,428.57
$1.50	$3.00	$7.50	$15.00	$30.00	$75.00	$150.00	7,142.86
$2.00	$4.00	$10.00	$20.00	$40.00	$100.00	$200.00	5,263.16
$2.50	$5.00	$12.50	$25.00	$50.00	$125.00	$250.00	7,142.86
$3.00	$6.00	$15.00	$30.00	$60.00	$150.00	$300.00	7,142.86
$4.00	$8.00	$20.00	$40.00	$80.00	$200.00	$400.00	7,142.86
$5.00	$10.00	$25.00	$50.00	$100.00	$250.00	$500.00	5,263.16
$10.00	$20.00	$50.00	$100.00	$200.00	$500.00	$1,000.00	100,000.00
