$0.50	$1.00	$2.00	$5.00	$10.00	$20.00	$30.00	$50.00	
$0.10	$0.20	$0.40	$1.00	$2.00	$4.00	$6.00	$10.00	28.51
$0.20	$0.40	$0.80	$2.00	$4.00	$8.00	$12.00	$20.00	28.57
$0.30	$0.60	$1.20	$3.00	$6.00	$12.00	$18.00	$30.00	33.33
$0.40	$0.80	$1.60	$4.00	$8.00	$16.00	$24.00	$40.00	200
$0.50	$1.00	$2.00	$5.00	$10.00	$20.00	$30.00	$50.00	28.36
$0.60	$1.20	$2.40	$6.00	$12.00	$24.00	$36.00	$60.00	33.33
$0.70	$1.40	$2.80	$7.00	$14.00	$28.00	$42.00	$70.00	100
$0.80	$1.60	$3.20	$8.00	$16.00	$32.00	$48.00	$80.00	200
$0.90	$1.80	$3.60	$9.00	$18.00	$36.00	$54.00	$90.00	200
$1.00	$2.00	$4.00	$10.00	$20.00	$40.00	$60.00	$100.00	66.66
$1.10	$2.20	$4.40	$11.00	$22.00	$44.00	$66.00	$110.00	399.84
$1.20	$2.40	$4.80	$12.00	$24.00	$48.00	$72.00	$120.00	400
$1.30	$2.60	$5.20	$13.00	$26.00	$52.00	$78.00	$130.00	400
$1.40	$2.80	$5.60	$14.00	$28.00	$56.00	$84.00	$140.00	400
$1.50	$3.00	$6.00	$15.00	$30.00	$60.00	$90.00	$150.00	199.98
$1.60	$3.20	$6.40	$16.00	$32.00	$64.00	$96.00	$160.00	2000
$1.70	$3.40	$6.80	$17.00	$34.00	$68.00	$102.00	$170.00	2000
$1.80	$3.60	$7.20	$18.00	$36.00	$72.00	$108.00	$180.00	2000
$1.90	$3.80	$7.60	$19.00	$38.00	$76.00	$114.00	$190.00	2000
$2.00	$4.00	$8.00	$20.00	$40.00	$80.00	$120.00	$200.00	2000
$2.10	$4.20	$8.40	$21.00	$42.00	$84.00	$126.00	$210.00	2000
$2.20	$4.40	$8.80	$22.00	$44.00	$88.00	$132.00	$220.00	2000
$2.30	$4.60	$9.20	$23.00	$46.00	$92.00	$138.00	$230.00	20000
$2.40	$4.80	$9.60	$24.00	$48.00	$96.00	$144.00	$240.00	20000
$2.50	$5.00	$10.00	$25.00	$50.00	$100.00	$150.00	$250.00	444.44
