$1.00	$2.00	$5.00	$10.00	$20.00	$30.00	$50.00	
$1.00	$2.00	$5.00	$10.00	$20.00	$30.00	$50.00	229.32
$1.20	$2.40	$6.00	$12.00	$24.00	$36.00	$60.00	23.94
$1.60	$3.20	$8.00	$16.00	$32.00	$48.00	$80.00	16.76
$2.20	$4.40	$11.00	$22.00	$44.00	$66.00	$110.00	28.29
$2.40	$4.80	$12.00	$24.00	$48.00	$72.00	$120.00	38.22
$4.00	$8.00	$20.00	$40.00	$80.00	$120.00	$200.00	90.4
$5.00	$10.00	$25.00	$50.00	$100.00	$150.00	$250.00	93.9
$6.00	$12.00	$30.00	$60.00	$120.00	$180.00	$300.00	239.4
$7.00	$14.00	$35.00	$70.00	$140.00	$210.00	$350.00	563.37
$8.00	$16.00	$40.00	$80.00	$160.00	$240.00	$400.00	180.04
$9.00	$18.00	$45.00	$90.00	$180.00	$270.00	$450.00	4501.11
$10.00	$20.00	$50.00	$100.00	$200.00	$300.00	$500.00	2252.88
$10.40	$20.80	$52.00	$104.00	$208.00	$312.00	$520.00	22459.14
$10.80	$21.60	$54.00	$108.00	$216.00	$324.00	$540.00	18004.44
$11.00	$22.00	$55.00	$110.00	$220.00	$330.00	$550.00	5629.29
$11.20	$22.40	$56.00	$112.00	$224.00	$336.00	$560.00	6351.42
$11.60	$23.20	$58.00	$116.00	$232.00	$348.00	$580.00	2706.26
$12.00	$24.00	$60.00	$120.00	$240.00	$360.00	$600.00	676.77
$12.40	$24.80	$62.00	$124.00	$248.00	$372.00	$620.00	2696.21
$12.80	$25.60	$64.00	$128.00	$256.00	$384.00	$640.00	2150.58
$13.00	$26.00	$65.00	$130.00	$260.00	$390.00	$650.00	5199.37
$13.20	$26.40	$66.00	$132.00	$264.00	$396.00	$660.00	4685.03
$13.60	$27.20	$68.00	$136.00	$272.00	$408.00	$680.00	1169.37
$14.00	$28.00	$70.00	$140.00	$280.00	$420.00	$700.00	2689.55
$14.40	$28.80	$72.00	$144.00	$288.00	$432.00	$720.00	1121.8
$14.80	$29.60	$74.00	$148.00	$296.00	$444.00	$740.00	3326.01
$15.00	$30.00	$75.00	$150.00	$300.00	$450.00	$750.00	23679.75
$15.20	$30.40	$76.00	$152.00	$304.00	$456.00	$760.00	1696.68
$15.60	$31.20	$78.00	$156.00	$312.00	$468.00	$780.00	2015.3
$16.00	$32.00	$80.00	$160.00	$320.00	$480.00	$800.00	1821.52
$16.40	$32.80	$82.00	$164.00	$328.00	$492.00	$820.00	2078.76
$16.80	$33.60	$84.00	$168.00	$336.00	$504.00	$840.00	2283.58
$17.00	$34.00	$85.00	$170.00	$340.00	$510.00	$850.00	121029.83
$17.20	$34.40	$86.00	$172.00	$344.00	$516.00	$860.00	4296.92
$17.60	$35.20	$88.00	$176.00	$352.00	$528.00	$880.00	2631.08
$18.00	$36.00	$90.00	$180.00	$360.00	$540.00	$900.00	6154.06
$18.40	$36.80	$92.00	$184.00	$368.00	$552.00	$920.00	5352.67
$18.80	$37.60	$94.00	$188.00	$376.00	$564.00	$940.00	10423.62
$19.00	$38.00	$95.00	$190.00	$380.00	$570.00	$950.00	1089268.5
$19.20	$38.40	$96.00	$192.00	$384.00	$576.00	$960.00	6542.15
$19.60	$39.20	$98.00	$196.00	$392.00	$588.00	$980.00	27231.71
$20.00	$40.00	$100.00	$200.00	$400.00	$600.00	$1,000.00	16504.07
$20.40	$40.80	$102.00	$204.00	$408.00	$612.00	$1,020.00	1089268.5
$20.80	$41.60	$104.00	$208.00	$416.00	$624.00	$1,040.00	66016.27
$21.00	$42.00	$105.00	$210.00	$420.00	$630.00	$1,050.00	22229.97
$21.20	$42.40	$106.00	$212.00	$424.00	$636.00	$1,060.00	66016.27
$21.60	$43.20	$108.00	$216.00	$432.00	$648.00	$1,080.00	29439.69
$22.00	$44.00	$110.00	$220.00	$440.00	$660.00	$1,100.00	1057.54
$22.40	$44.80	$112.00	$224.00	$448.00	$672.00	$1,120.00	27929.96
$22.80	$45.60	$114.00	$228.00	$456.00	$684.00	$1,140.00	1089268.5
$23.00	$46.00	$115.00	$230.00	$460.00	$690.00	$1,150.00	4501.11
$23.20	$46.40	$116.00	$232.00	$464.00	$696.00	$1,160.00	22459.14
$23.60	$47.20	$118.00	$236.00	$472.00	$708.00	$1,180.00	87141.48
$24.00	$48.00	$120.00	$240.00	$480.00	$720.00	$1,200.00	3310.85
$24.40	$48.80	$122.00	$244.00	$488.00	$732.00	$1,220.00	80686.56
$24.80	$49.60	$124.00	$248.00	$496.00	$744.00	$1,240.00	29047.16
$25.00	$50.00	$125.00	$250.00	$500.00	$750.00	$1,250.00	3420
$25.20	$50.40	$126.00	$252.00	$504.00	$756.00	$1,260.00	87141.48
$25.60	$51.20	$128.00	$256.00	$512.00	$768.00	$1,280.00	29047.16
$26.00	$52.00	$130.00	$260.00	$520.00	$780.00	$1,300.00	8819.99
$26.40	$52.80	$132.00	$264.00	$528.00	$792.00	$1,320.00	5515.28
$27.00	$54.00	$135.00	$270.00	$540.00	$810.00	$1,350.00	7213.7
$27.20	$54.40	$136.00	$272.00	$544.00	$816.00	$1,360.00	4418.94
$27.60	$55.20	$138.00	$276.00	$552.00	$828.00	$1,380.00	87141.48
$28.00	$56.00	$140.00	$280.00	$560.00	$840.00	$1,400.00	2757.64
$28.40	$56.80	$142.00	$284.00	$568.00	$852.00	$1,420.00	16887.88
$28.80	$57.60	$144.00	$288.00	$576.00	$864.00	$1,440.00	7384.87
$29.00	$58.00	$145.00	$290.00	$580.00	$870.00	$1,450.00	819.31
