$0.25	$0.50	$1.00	$2.00	$5.00	$10.00	$20.00	$30.00	$50.00	
$0.05	$0.10	$0.20	$0.40	$1.00	$2.00	$4.00	$6.00	$10.00	28.57
$0.10	$0.20	$0.40	$0.80	$2.00	$4.00	$8.00	$12.00	$20.00	57.14
$0.15	$0.30	$0.60	$1.20	$3.00	$6.00	$12.00	$18.00	$30.00	58.25
$0.20	$0.40	$0.80	$1.60	$4.00	$8.00	$16.00	$24.00	$40.00	100
$0.25	$0.50	$1.00	$2.00	$5.00	$10.00	$20.00	$30.00	$50.00	33.33
$0.30	$0.60	$1.20	$2.40	$6.00	$12.00	$24.00	$36.00	$60.00	35.97
$0.35	$0.70	$1.40	$2.80	$7.00	$14.00	$28.00	$42.00	$70.00	33.33
$0.40	$0.80	$1.60	$3.20	$8.00	$16.00	$32.00	$48.00	$80.00	50
$0.45	$0.90	$1.80	$3.60	$9.00	$18.00	$36.00	$54.00	$90.00	200
$0.50	$1.00	$2.00	$4.00	$10.00	$20.00	$40.00	$60.00	$100.00	57.14
$0.55	$1.10	$2.20	$4.40	$11.00	$22.00	$44.00	$66.00	$110.00	285.71
$0.60	$1.20	$2.40	$4.80	$12.00	$24.00	$48.00	$72.00	$120.00	1000
$0.65	$1.30	$2.60	$5.20	$13.00	$26.00	$52.00	$78.00	$130.00	1000
$0.70	$1.40	$2.80	$5.60	$14.00	$28.00	$56.00	$84.00	$140.00	1000
$0.75	$1.50	$3.00	$6.00	$15.00	$30.00	$60.00	$90.00	$150.00	192.29
$0.80	$1.60	$3.20	$6.40	$16.00	$32.00	$64.00	$96.00	$160.00	1816.53
$0.85	$1.70	$3.40	$6.80	$17.00	$34.00	$68.00	$102.00	$170.00	1816.53
$0.90	$1.80	$3.60	$7.20	$18.00	$36.00	$72.00	$108.00	$180.00	1816.53
$0.95	$1.90	$3.80	$7.60	$19.00	$38.00	$76.00	$114.00	$190.00	3327.79
$1.00	$2.00	$4.00	$8.00	$20.00	$40.00	$80.00	$120.00	$200.00	908.68
$1.05	$2.10	$4.20	$8.40	$21.00	$42.00	$84.00	$126.00	$210.00	3327.79
$1.10	$2.20	$4.40	$8.80	$22.00	$44.00	$88.00	$132.00	$220.00	19801.98
$1.15	$2.30	$4.60	$9.20	$23.00	$46.00	$92.00	$138.00	$230.00	3327.79
$1.20	$2.40	$4.80	$9.60	$24.00	$48.00	$96.00	$144.00	$240.00	19801.98
$1.25	$2.50	$5.00	$10.00	$25.00	$50.00	$100.00	$150.00	$250.00	624.8
$1.30	$2.60	$5.20	$10.40	$26.00	$52.00	$104.00	$156.00	$260.00	3327.79
$1.35	$2.70	$5.40	$10.80	$27.00	$54.00	$108.00	$162.00	$270.00	3327.79
$1.40	$2.80	$5.60	$11.20	$28.00	$56.00	$112.00	$168.00	$280.00	3327.79
$1.45	$2.90	$5.80	$11.60	$29.00	$58.00	$116.00	$174.00	$290.00	3327.79
$1.50	$3.00	$6.00	$12.00	$30.00	$60.00	$120.00	$180.00	$300.00	571.27
$1.55	$3.10	$6.20	$12.40	$31.00	$62.00	$124.00	$186.00	$310.00	3565.06
$1.60	$3.20	$6.40	$12.80	$32.00	$64.00	$128.00	$192.00	$320.00	3565.06
$1.65	$3.30	$6.60	$13.20	$33.00	$66.00	$132.00	$198.00	$330.00	3565.06
$1.70	$3.40	$6.80	$13.60	$34.00	$68.00	$136.00	$204.00	$340.00	3565.06
$1.75	$3.50	$7.00	$14.00	$35.00	$70.00	$140.00	$210.00	$350.00	1885.01
$1.80	$3.60	$7.20	$14.40	$36.00	$72.00	$144.00	$216.00	$360.00	2628.12
$1.85	$3.70	$7.40	$14.80	$37.00	$74.00	$148.00	$222.00	$370.00	2628.12
$1.90	$3.80	$7.60	$15.20	$38.00	$76.00	$152.00	$228.00	$380.00	2628.12
$1.95	$3.90	$7.80	$15.60	$39.00	$78.00	$156.00	$234.00	$390.00	2628.12
$2.00	$4.00	$8.00	$16.00	$40.00	$80.00	$160.00	$240.00	$400.00	1333.33
$2.05	$4.10	$8.20	$16.40	$41.00	$82.00	$164.00	$246.00	$410.00	2127.66
$2.10	$4.20	$8.40	$16.80	$42.00	$84.00	$168.00	$252.00	$420.00	2702.7
$2.15	$4.30	$8.60	$17.20	$43.00	$86.00	$172.00	$258.00	$430.00	2702.7
$2.20	$4.40	$8.80	$17.60	$44.00	$88.00	$176.00	$264.00	$440.00	2702.7
$2.25	$4.50	$9.00	$18.00	$45.00	$90.00	$180.00	$270.00	$450.00	2127.66
$2.30	$4.60	$9.20	$18.40	$46.00	$92.00	$184.00	$276.00	$460.00	2127.66
$2.35	$4.70	$9.40	$18.80	$47.00	$94.00	$188.00	$282.00	$470.00	2702.7
$2.40	$4.80	$9.60	$19.20	$48.00	$96.00	$192.00	$288.00	$480.00	2127.66
$2.45	$4.90	$9.80	$19.60	$49.00	$98.00	$196.00	$294.00	$490.00	3125
$2.50	$5.00	$10.00	$20.00	$50.00	$100.00	$200.00	$300.00	$500.00	597.01
$2.55	$5.10	$10.20	$20.40	$51.00	$102.00	$204.00	$306.00	$510.00	2061.86
$2.60	$5.20	$10.40	$20.80	$52.00	$104.00	$208.00	$312.00	$520.00	2061.86
$2.65	$5.30	$10.60	$21.20	$53.00	$106.00	$212.00	$318.00	$530.00	4081.63
$2.70	$5.40	$10.80	$21.60	$54.00	$108.00	$216.00	$324.00	$540.00	5405.41
$2.75	$5.50	$11.00	$22.00	$55.00	$110.00	$220.00	$330.00	$550.00	3072.2
$2.80	$5.60	$11.20	$22.40	$56.00	$112.00	$224.00	$336.00	$560.00	4081.63
$2.85	$5.70	$11.40	$22.80	$57.00	$114.00	$228.00	$342.00	$570.00	4081.63
$2.90	$5.80	$11.60	$23.20	$58.00	$116.00	$232.00	$348.00	$580.00	9049.77
$2.95	$5.90	$11.80	$23.60	$59.00	$118.00	$236.00	$354.00	$590.00	9090.91
$3.00	$6.00	$12.00	$24.00	$60.00	$120.00	$240.00	$360.00	$600.00	3125
$3.05	$6.10	$12.20	$24.40	$61.00	$122.00	$244.00	$366.00	$610.00	4545.45
$3.10	$6.20	$12.40	$24.80	$62.00	$124.00	$248.00	$372.00	$620.00	9090.91
$3.15	$6.30	$12.60	$25.20	$63.00	$126.00	$252.00	$378.00	$630.00	8333.33
$3.20	$6.40	$12.80	$25.60	$64.00	$128.00	$256.00	$384.00	$640.00	9090.91
$3.25	$6.50	$13.00	$26.00	$65.00	$130.00	$260.00	$390.00	$650.00	12121.21
$3.30	$6.60	$13.20	$26.40	$66.00	$132.00	$264.00	$396.00	$660.00	12121.21
$3.35	$6.70	$13.40	$26.80	$67.00	$134.00	$268.00	$402.00	$670.00	12121.21
$3.40	$6.80	$13.60	$27.20	$68.00	$136.00	$272.00	$408.00	$680.00	13698.63
$3.45	$6.90	$13.80	$27.60	$69.00	$138.00	$276.00	$414.00	$690.00	13793.1
$3.50	$7.00	$14.00	$28.00	$70.00	$140.00	$280.00	$420.00	$700.00	12048.19
$3.55	$7.10	$14.20	$28.40	$71.00	$142.00	$284.00	$426.00	$710.00	12121.21
$3.60	$7.20	$14.40	$28.80	$72.00	$144.00	$288.00	$432.00	$720.00	13793.1
$3.65	$7.30	$14.60	$29.20	$73.00	$146.00	$292.00	$438.00	$730.00	13793.1
$3.70	$7.40	$14.80	$29.60	$74.00	$148.00	$296.00	$444.00	$740.00	13793.1
$3.75	$7.50	$15.00	$30.00	$75.00	$150.00	$300.00	$450.00	$750.00	2285.71
$3.80	$7.60	$15.20	$30.40	$76.00	$152.00	$304.00	$456.00	$760.00	23529.41
$3.85	$7.70	$15.40	$30.80	$77.00	$154.00	$308.00	$462.00	$770.00	23255.81
$3.90	$7.80	$15.60	$31.20	$78.00	$156.00	$312.00	$468.00	$780.00	23255.81
$3.95	$7.90	$15.80	$31.60	$79.00	$158.00	$316.00	$474.00	$790.00	50000
$4.00	$8.00	$16.00	$32.00	$80.00	$160.00	$320.00	$480.00	$800.00	23529.41
$4.05	$8.10	$16.20	$32.40	$81.00	$162.00	$324.00	$486.00	$810.00	22988.51
$4.10	$8.20	$16.40	$32.80	$82.00	$164.00	$328.00	$492.00	$820.00	30769.23
$4.15	$8.30	$16.60	$33.20	$83.00	$166.00	$332.00	$498.00	$830.00	30303.03
$4.20	$8.40	$16.80	$33.60	$84.00	$168.00	$336.00	$504.00	$840.00	23529.41
$4.25	$8.50	$17.00	$34.00	$85.00	$170.00	$340.00	$510.00	$850.00	23529.41
$4.30	$8.60	$17.20	$34.40	$86.00	$172.00	$344.00	$516.00	$860.00	23529.41
$4.35	$8.70	$17.40	$34.80	$87.00	$174.00	$348.00	$522.00	$870.00	30769.23
$4.40	$8.80	$17.60	$35.20	$88.00	$176.00	$352.00	$528.00	$880.00	23529.41
$4.45	$8.90	$17.80	$35.60	$89.00	$178.00	$356.00	$534.00	$890.00	30769.23
$4.50	$9.00	$18.00	$36.00	$90.00	$180.00	$360.00	$540.00	$900.00	23529.41
$4.55	$9.10	$18.20	$36.40	$91.00	$182.00	$364.00	$546.00	$910.00	23529.41
$4.60	$9.20	$18.40	$36.80	$92.00	$184.00	$368.00	$552.00	$920.00	23529.41
$4.65	$9.30	$18.60	$37.20	$93.00	$186.00	$372.00	$558.00	$930.00	23529.41
$4.70	$9.40	$18.80	$37.60	$94.00	$188.00	$376.00	$564.00	$940.00	23529.41
$4.75	$9.50	$19.00	$38.00	$95.00	$190.00	$380.00	$570.00	$950.00	23529.41
$4.80	$9.60	$19.20	$38.40	$96.00	$192.00	$384.00	$576.00	$960.00	23529.41
$4.85	$9.70	$19.40	$38.80	$97.00	$194.00	$388.00	$582.00	$970.00	23529.41
$4.90	$9.80	$19.60	$39.20	$98.00	$196.00	$392.00	$588.00	$980.00	30769.23
$4.95	$9.90	$19.80	$39.60	$99.00	$198.00	$396.00	$594.00	$990.00	30769.23
$5.00	$10.00	$20.00	$40.00	$100.00	$200.00	$400.00	$600.00	$1,000.00	2283.11
$5.05	$10.10	$20.20	$40.40	$101.00	$202.00	$404.00	$606.00	$1,010.00	10000
$5.10	$10.20	$20.40	$40.80	$102.00	$204.00	$408.00	$612.00	$1,020.00	10000
$5.15	$10.30	$20.60	$41.20	$103.00	$206.00	$412.00	$618.00	$1,030.00	13333.33
$5.20	$10.40	$20.80	$41.60	$104.00	$208.00	$416.00	$624.00	$1,040.00	14814.81
$5.25	$10.50	$21.00	$42.00	$105.00	$210.00	$420.00	$630.00	$1,050.00	28169.01
$5.30	$10.60	$21.20	$42.40	$106.00	$212.00	$424.00	$636.00	$1,060.00	28571.43
