$0.10	$0.50	$1.00	$2.00	$5.00	
$5,000.00	$25,000.00	$50,000.00	$100,000.00	$250,000.00	258,890,850.00
$1,000.00	$5,000.00	$10,000.00	$20,000.00	$50,000.00	18,492,203.57
$500.00	$2,500.00	$5,000.00	$10,000.00	$25,000.00	739,688.14
$150.00	$750.00	$1,500.00	$3,000.00	$7,500.00	52,834.87
$50.00	$250.00	$500.00	$1,000.00	$2,500.00	10,720.12
$20.00	$100.00	$200.00	$400.00	$1,000.00	765.72
$10.00	$50.00	$100.00	$200.00	$500.00	472.95
$1.00	$5.00	$10.00	$20.00	$50.00	56.47
$0.30	$1.50	$3.00	$6.00	$15.00	21.39
