$0.10	$0.25	$0.50	$1.00	$2.00	$5.00	
$0.10	$0.25	$0.50	$1.00	$2.00	$1.00	64.1
$0.20	$0.50	$1.00	$2.00	$4.00	$2.00	92.17
$0.40	$1.00	$2.00	$4.00	$8.00	$4.00	86.96
$0.50	$1.25	$2.50	$5.00	$10.00	$5.00	111.11
$1.00	$2.50	$5.00	$10.00	$20.00	$10.00	103.09
$2.00	$5.00	$10.00	$20.00	$40.00	$20.00	85.4
$5.00	$12.50	$25.00	$50.00	$100.00	$50.00	191.28
$10.00	$25.00	$50.00	$100.00	$200.00	$100.00	1,020.41
$20.00	$50.00	$100.00	$200.00	$400.00	$200.00	10,752.69
$100.00	$250.00	$500.00	$1,000.00	$2,000.00	$1,000.00	200,000.04
$2,500.00	$6,250.00	$12,500.00	$25,000.00	$50,000.00	$25,000.00	3,333,334.00
